Facility_ID,Installation_ID,Facility_Name,Designation,Unit,Facility_Type,Operating_Model,Program_Type,Contract_Type,Primary_PV,POS_Terminals_Raw,POC_Display_Name,In_R1_Scope,Source_Row,Source_System,Facility_DODAAC,Contract_ID,Active_Flag
WHITEMAN_AFB|TOUCH_GO,WHITEMAN_AFB,Touch & Go,,509 FSS,,Legacy/APF,Legacy - SB,Mess Attendant,US Foods,DFAC – 3 FK-1,TSgt Marc Miller-Nelson,TRUE,212,Mission Feeding QRG,,,TRUE
WRIGHT_PATTERSON_AFB|PITSENBARGER,WRIGHT_PATTERSON_AFB,Pitsenbarger,,88 FSS,,Legacy/APF,Legacy - RSA,Full Food Service,Sysco,Pitsenbarger – 2 HPW-1,TSgt Emilee Hinson,TRUE,214,Mission Feeding QRG,,,TRUE
WRIGHT_PATTERSON_AFB|HPW_DINING_FACILITY,WRIGHT_PATTERSON_AFB,HPW Dining Facility,,88 FSS,,Legacy/APF,Legacy - RSA,Full Food Service,Sysco,Pitsenbarger – 2 HPW-1,TSgt Emilee Hinson,TRUE,217,Mission Feeding QRG,,,TRUE
YOKOTA_AB|SAMURAI_CAF,YOKOTA_AB,Samurai Café,,374 FSS,,Legacy/APF,Legacy - LN,Mess Attendant,Coastal Pacific,3,TSgt Annette Hartman,TRUE,220,Mission Feeding QRG,,,TRUE
AL_DHAFRA_AB_ADAB|CHAPMAN_COMMUNITY_CENTER,AL_DHAFRA_AB_ADAB,Chapman Community Center,COCOM HQ,N/A,,AOR/CDS,,,Valiant,,MSgt Rodney Worthen,FALSE,221,Mission Feeding QRG,,,TRUE
AL_UDEID_AB_AUAB|INDY,AL_UDEID_AB_AUAB,Indy,COCOM HQ,N/A,,AOR/CDS,,,OFI(Ocean Fair),,MSgt Rodney Worthen,FALSE,222,Mission Feeding QRG,,,TRUE
AL_UDEID_AB_AUAB|BPC_CAC,AL_UDEID_AB_AUAB,BPC CAC,COCOM HQ,N/A,,AOR/CDS,,,OFI(Ocean Fair),,MSgt Rodney Worthen,FALSE,223,Mission Feeding QRG,,,TRUE
AL_UDEID_AB_AUAB|FALCON,AL_UDEID_AB_AUAB,Falcon,COCOM HQ,N/A,,AOR/CDS,,,OFI(Ocean Fair),,MSgt Rodney Worthen,FALSE,224,Mission Feeding QRG,,,TRUE
AL_UDEID_AB_AUAB|FOX_SPORTS,AL_UDEID_AB_AUAB,Fox Sports,COCOM HQ,N/A,,AOR/CDS,,,OFI(Ocean Fair),,MSgt Rodney Worthen,FALSE,225,Mission Feeding QRG,,,TRUE
AL_UDEID_AB_AUAB|KASBAH,AL_UDEID_AB_AUAB,Kasbah,COCOM HQ,N/A,,AOR/CDS,,,OFI(Ocean Fair),,MSgt Rodney Worthen,FALSE,226,Mission Feeding QRG,,,TRUE
AL_UDEID_AB_AUAB|PEARL,AL_UDEID_AB_AUAB,Pearl,COCOM HQ,N/A,,AOR/CDS,,,OFI(Ocean Fair),,MSgt Rodney Worthen,FALSE,227,Mission Feeding QRG,,,TRUE
AL_UDEID_AB_AUAB|QUICK_TURN_COLD_GRAB_N_GO,AL_UDEID_AB_AUAB,Quick Turn Cold Grab n Go,COCOM HQ,N/A,,AOR/CDS,,,OFI(Ocean Fair),,MSgt Rodney Worthen,FALSE,228,Mission Feeding QRG,,,TRUE
AL_UDEID_AB_AUAB|RATIONS,AL_UDEID_AB_AUAB,Rations,COCOM HQ,N/A,,AOR/CDS,,,OFI(Ocean Fair),,MSgt Rodney Worthen,FALSE,229,Mission Feeding QRG,,,TRUE
AL_UDEID_AB_AUAB|THE_KITCHEN_HOT_GRAB_N_GO,AL_UDEID_AB_AUAB,The Kitchen Hot Grab n Go,COCOM HQ,N/A,,AOR/CDS,,,OFI(Ocean Fair),,MSgt Rodney Worthen,FALSE,230,Mission Feeding QRG,,,TRUE
ALI_AL_SALEM_AB_AASAB|DROP_ZONE,ALI_AL_SALEM_AB_AASAB,Drop Zone,COCOM HQ,N/A,,AOR/CDS,,,Global Food,,MSgt Rodney Worthen,FALSE,231,Mission Feeding QRG,,,TRUE
CAMP_SIMBA|N_A,CAMP_SIMBA,N/A,COCOM HQ,N/A,,AOR/CDS,,,Valiant,,MSgt Rodney Worthen,FALSE,232,Mission Feeding QRG,,,TRUE
MUWAFFAQ_SALTI_AB_MSAB|KSPAN,MUWAFFAQ_SALTI_AB_MSAB,KSPAN,COCOM HQ,N/A,,AOR/CDS,,,,,MSgt Rodney Worthen,FALSE,233,Mission Feeding QRG,,,TRUE
MUWAFFAQ_SALTI_AB_MSAB|RTV,MUWAFFAQ_SALTI_AB_MSAB,RTV,COCOM HQ,N/A,,AOR/CDS,,,,,MSgt Rodney Worthen,FALSE,234,Mission Feeding QRG,,,TRUE
PRINCE_SULTAN_AB_PSAB|N_A,PRINCE_SULTAN_AB_PSAB,N/A,COCOM HQ,N/A,,AOR/CDS,,,OFI(Ocean Fair),,MSgt Rodney Worthen,FALSE,235,Mission Feeding QRG,,,TRUE
AL_JABER_AB|DFAC,AL_JABER_AB,DFAC,COCOM HQ,N/A,,AOR/CDS,,,Global Food,,MSgt Rodney Worthen,FALSE,236,Mission Feeding QRG,,,TRUE
AL_JABER_AB|DFAC_02,AL_JABER_AB,DFAC,COCOM HQ,N/A,,AOR/CDS,,,Global Food,,MSgt Rodney Worthen,FALSE,237,Mission Feeding QRG,,,TRUE
AB101_NIAMEY|DFAC,AB101_NIAMEY,DFAC,COCOM HQ,N/A,,AOR/CDS,,,,,MSgt Rodney Worthen,FALSE,239,Mission Feeding QRG,,,TRUE
AB201_AGADEZ|DFAC,AB201_AGADEZ,DFAC,COCOM HQ,N/A,,AOR/CDS,,,TWI,,MSgt Rodney Worthen,FALSE,241,Mission Feeding QRG,,,TRUE
ARNOLD_AFB|NO_DFAC,ARNOLD_AFB,NO DFAC,,N/A,,,,,,,,FALSE,243,Mission Feeding QRG,,,TRUE
BOLLING_AFB|NO_DFAC,BOLLING_AFB,NO DFAC,,N/A,,,,,,,,FALSE,244,Mission Feeding QRG,,,TRUE
BUCKLEY_SFB|NO_DFAC,BUCKLEY_SFB,NO DFAC,,N/A,,,,,,,,FALSE,245,Mission Feeding QRG,,,TRUE
CAPE_CANAVERAL_SFS|NO_DFAC,CAPE_CANAVERAL_SFS,NO DFAC,,N/A,,,,,,,,FALSE,246,Mission Feeding QRG,,,TRUE
CAPE_COD_SFS|NO_DFAC,CAPE_COD_SFS,NO DFAC,,N/A,,,,,,,,FALSE,247,Mission Feeding QRG,,,TRUE
CAVALIER_SFS|NO_DFAC,CAVALIER_SFS,NO DFAC,,N/A,,,,,,,,FALSE,248,Mission Feeding QRG,,,TRUE
CHEYENNE_MOUNTAIN_SFB|NO_DFAC,CHEYENNE_MOUNTAIN_SFB,NO DFAC,,N/A,,,,,,,,FALSE,249,Mission Feeding QRG,,,TRUE
COLUMBUS_AFB|NO_DFAC,COLUMBUS_AFB,NO DFAC,,N/A,,,,,,,,FALSE,250,Mission Feeding QRG,,,TRUE
EARECKSON_AFS|NO_DFAC,EARECKSON_AFS,NO DFAC,,N/A,,,,,,,,FALSE,251,Mission Feeding QRG,,,TRUE
HANSCOM_AFB|NO_DFAC,HANSCOM_AFB,NO DFAC,,N/A,,,,,,,,FALSE,252,Mission Feeding QRG,,,TRUE
